"Timepoint","Group","Fish","Flowspeed","Avg_YPosition [px]","Distance [px]","Activity [%]","Flow-Adjusted Activity [%]","Efficiency","Swimming Against Flow [%]","Flow-Adjusted Swimming Against Flow [%]","Burst Duration [frames]","Burst Frequency [bursts/min]","Burst Amplitude [pixels]","Time in Y-Quadrant 1 [%]","Time in Y-Quadrant 2 [%]","Time in Y-Quadrant 3 [%]","Time in Y-Quadrant 4 [%]"
"6","DoubleHets","6_D_9","0 cps",1361.1256255,34723.191504593,13.3811031494751,13.3811031494751,25.9772881331723,5.84902516247292,NA,7.46808510638298,9.39843359440093,287.471524432977,41.85,10.45,13.5333333333333,34.1666666666667
"6","DoubleHets","6_D_9","10 cps",1387.41767116667,171490.300908615,76.8333333333333,55.5166666666667,8.7983804978598,30.1666666666667,49.1166666666667,7.73504273504274,46.8,314.745292797396,18.75,10.3333333333333,20.3833333333333,50.5333333333333
"6","DoubleHets","6_D_9","20 cps",1352.05677370438,237238.38849803,71.6047325445759,60.873187802033,7.66182211706612,31.3281119813364,58.3402766205632,5.83850931677019,64.3892684552575,257.909485196676,10.3149475087485,7.21546408931845,30.0449925012498,52.4245959006832
"6","DoubleMutants","6_A_1","0 cps",1281.66998566667,108526.721327813,69.1718046992168,69.1718046992168,15.1361612334806,31.9613397767039,NA,32.5084745762712,11.7980336610565,882.537207742066,13.9666666666667,15.8,19.6666666666667,50.5666666666667
"6","DoubleMutants","6_A_1","10 cps",1378.381144,127567.194931702,83.1833333333333,62.1,14.8935984612027,34.45,56.05,8.87124463519313,46.6,261.009249632879,4.28333333333333,11.5,37.8166666666667,46.4
"6","DoubleMutants","6_A_1","20 cps",1272.66970388269,139169.271723224,89.4350941509748,60.3066155640727,11.6382600492589,37.4437593734378,59.3401099816697,7.41584158415842,60.5899016830528,216.092253158928,10.281619730045,12.6645559073488,36.1439760039993,40.9098483586069
"6","DoubleMutants","6_A_10","0 cps",750.643488,96693.9490673596,60.8398600233294,60.8398600233294,14.8652440308892,28.0453257790368,NA,25.8923076923077,12.9978336943843,677.563099572087,20.8833333333333,14.2,19.1,45.8166666666667
"6","DoubleMutants","6_A_10","10 cps",1482.6487295,105336.861433781,77.0833333333333,62.1,21.7833507345527,30.4333333333333,58.25,8.11555555555556,45,210.630625174369,3.66666666666667,4.73333333333333,26.2833333333333,65.3166666666667
"6","DoubleMutants","6_A_10","20 cps",1371.85659590068,122548.216265544,86.6022329611731,65.0724879186802,15.7693779081261,35.1274787535411,64.4059323446092,7.31944444444444,57.5904015997334,197.978741690507,4.43259456757207,8.54857523746042,38.5602399600067,48.4585902349608
"6","DoubleMutants","6_A_2","0 cps",1198.9074815,120357.083263507,73.6377270454924,73.6377270454924,11.9006281729024,33.4444259290118,NA,29.0869565217391,13.7977003832695,816.193989342009,16.2166666666667,16.05,27.6833333333333,40.05
