 ,Label,Area,X,Y
224,45.0,4386,113.504,1809.491
225,46.0,4625,342.955,276.295
226,46.0,3703,171.301,1115.964
227,46.0,4023,223.232,1336.151
228,46.0,3551,297.436,1711.903
229,46.0,4520,111.483,1839.886
230,47.0,4652,347.384,261.025
231,47.0,3669,174.022,1126.487
232,47.0,3905,238.110,1333.102
233,47.0,3586,297.214,1711.506
234,47.0,4467,117.806,1861.431
235,48.0,4718,353.558,244.024
236,48.0,3676,176.569,1139.427
237,48.0,3847,256.192,1338.069
238,48.0,3469,300.954,1706.541
239,48.0,4290,130.078,1883.255
240,49.0,4731,357.305,232.539
241,49.0,3694,178.986,1148.050
242,49.0,3891,266.059,1344.008
243,49.0,3554,299.224,1710.721
244,49.0,4328,145.648,1897.902
245,50.0,4632,361.462,218.813
246,50.0,3765,189.966,1169.485
247,50.0,3833,277.948,1352.788
248,50.0,3513,299.271,1709.895
249,50.0,4721,167.763,1905.768
250,51.0,4644,364.387,209.655
251,51.0,3749,201.450,1185.230
252,51.0,3783,285.636,1358.288
253,51.0,3537,299.376,1709.283
254,51.0,4631,187.982,1903.982
255,52.0,4699,369.093,198.299
256,52.0,3649,214.976,1203.665
257,52.0,3697,294.042,1364.063
258,52.0,3539,299.820,1707.986
259,52.0,4769,208.738,1899.294
260,53.0,4817,372.453,189.239
261,53.0,3648,223.259,1214.828
262,53.0,3918,298.337,1368.070
263,53.0,3509,300.160,1707.482
264,53.0,4804,222.959,1895.061
265,54.0,4879,378.019,176.869
266,54.0,3761,236.520,1230.203
267,54.0,3960,309.891,1381.907
268,54.0,3503,300.602,1707.723
269,54.0,4647,240.922,1888.189
270,55.0,4747,384.674,164.679
271,55.0,3809,246.606,1239.227
272,55.0,3970,316.658,1395.973
273,55.0,3376,302.084,1704.744
274,55.0,4660,251.710,1883.846
275,56.0,4728,397.706,152.999
276,56.0,3708,259.125,1248.991
277,56.0,3875,323.544,1413.089
278,56.0,3403,301.199,1705.143
279,56.0,4789,264.750,1879.838
280,57.0,4804,408.718,145.586
281,57.0,3715,268.046,1256.399
282,57.0,3858,326.915,1423.443
283,57.0,3547,302.103,1703.503
284,57.0,4862,272.819,1878.545
285,58.0,4598,421.449,135.876
286,58.0,3779,278.674,1265.866
287,58.0,3867,330.685,1436.046
288,58.0,3690,302.599,1702.727
289,58.0,4902,283.216,1876.313
290,59.0,4538,435.422,124.572
291,59.0,3873,286.462,1272.114
292,59.0,3886,334.176,1444.552
293,59.0,3556,306.502,1697.187
294,59.0,4944,291.157,1873.581
295,60.0,4322,451.349,121.523
296,60.0,3872,299.134,1280.544
297,60.0,3881,337.989,1454.691
298,60.0,3553,313.324,1688.134
299,60.0,4801,301.596,1870.130
300,61.0,3832,456.522,118.699
301,61.0,3865,312.112,1289.643
302,61.0,3931,340.137,1460.605
303,61.0,3570,317.102,1683.652
304,61.0,4872,304.915,1870.314
305,62.0,4255,464.269,140.034
306,62.0,3851,329.788,1300.881
307,62.0,4034,341.760,1467.664
308,62.0,3510,322.417,1675.291
309,62.0,4816,313.938,1868.431
310,63.0,4978,466.815,153.678
311,63.0,3873,341.344,1309.298
312,63.0,4000,341.910,1472.993
313,63.0,3477,325.836,1669.256
314,63.0,4850,319.074,1867.280
315,64.0,5761,466.395,173.812
316,64.0,3955,355.106,1320.006
317,64.0,4090,343.063,1479.445
318,64.0,3531,329.156,1664.466
319,64.0,4937,325.046,1865.703
320,65.0,5229,462.571,200.522
321,65.0,4041,364.798,1327.206
322,65.0,4187,345.538,1484.092
323,65.0,3511,332.227,1662.599
